model,score_column,evaluation_target,split/test_set,threshold,n_samples,predicted_positive_rate,precision,recall,f1,true_positive_rate,false_positive_count,false_negative_count
graphsage_direct,graphsage_score,weak_strict,rugcheck_missing_fallback,0.3,2248,0.0849644128113879,0.031413612565445025,1.0,0.06091370558375635,0.0026690391459074734,185,0
graphsage_direct,graphsage_score,weak_strict,rugcheck_missing_fallback,0.5,2248,0.04848754448398576,0.05504587155963303,1.0,0.10434782608695652,0.0026690391459074734,103,0
graphsage_direct,graphsage_score,weak_strict,rugcheck_missing_fallback,0.7,2248,0.025355871886120998,0.10526315789473684,1.0,0.19047619047619047,0.0026690391459074734,51,0
graphsage_direct,graphsage_score,weak_strict,rugcheck_missing_fallback,0.9,2248,0.00800711743772242,0.3333333333333333,1.0,0.5,0.0026690391459074734,12,0
old_weak_xgboost_token_graphsage,combined_model_score,weak_strict,rugcheck_missing_fallback,0.01,2248,0.013790035587188613,0.1935483870967742,1.0,0.32432432432432434,0.0026690391459074734,25,0
old_weak_xgboost_token_graphsage,combined_model_score,weak_strict,rugcheck_missing_fallback,0.02,2248,0.007562277580071174,0.35294117647058826,1.0,0.5217391304347826,0.0026690391459074734,11,0
old_weak_xgboost_token_graphsage,combined_model_score,weak_strict,rugcheck_missing_fallback,0.05,2248,0.0035587188612099642,0.75,1.0,0.8571428571428571,0.0026690391459074734,2,0
old_weak_xgboost_token_graphsage,combined_model_score,weak_strict,rugcheck_missing_fallback,0.1,2248,0.0026690391459074734,1.0,1.0,1.0,0.0026690391459074734,0,0
old_weak_xgboost_token_graphsage,combined_model_score,weak_strict,rugcheck_missing_fallback,0.2,2248,0.0026690391459074734,1.0,1.0,1.0,0.0026690391459074734,0,0
old_weak_xgboost_token_graphsage,combined_model_score,weak_strict,rugcheck_missing_fallback,0.3,2248,0.0026690391459074734,1.0,1.0,1.0,0.0026690391459074734,0,0
old_weak_xgboost_token_graphsage,combined_model_score,weak_strict,rugcheck_missing_fallback,0.5,2248,0.0013345195729537367,1.0,0.5,0.6666666666666666,0.0026690391459074734,0,3
old_weak_xgboost_token_graphsage,combined_model_score,weak_strict,rugcheck_missing_fallback,0.7,2248,0.0013345195729537367,1.0,0.5,0.6666666666666666,0.0026690391459074734,0,3
old_weak_xgboost_token_graphsage,combined_model_score,weak_strict,rugcheck_missing_fallback,0.9,2248,0.00044483985765124553,1.0,0.16666666666666666,0.2857142857142857,0.0026690391459074734,0,5
rule_baseline,silver_label_score,weak_relaxed,rugcheck_missing_fallback,0.01,2248,1.0,0.9804270462633452,1.0,0.9901168014375562,0.9804270462633452,44,0
rule_baseline,silver_label_score,weak_relaxed,rugcheck_missing_fallback,0.02,2248,1.0,0.9804270462633452,1.0,0.9901168014375562,0.9804270462633452,44,0
